,Latency,PowerConsumption,Number of Processors,Combined Tasks,MapTask1To,MapTask2To,MapTask3To,MapTask4To,MapTask5To,MapTask6To,MapTask7To,	MapTask8To,MapTask9To,MapTask10To,MapTask11To,Config,VSF1,VSF2,VSF3,VSF4,VSF5,VSF6,OSPolicy1,OSPolicy2,OSPolicy3,OSPolicy4,OSPolicy5,OSPolicy6
7,0.00414392303030306,0.043670051065465176,5,"(1, 1)","""Node3""","""Node1""","""Node6""","""Node3""","""Node4""","""Node5""","""Node1""","""Node6""","""Node4""","""Node1""","""Node5""",20,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB"""
8,0.0033992796447653,0.04158323288581501,6,"(1, 1)","""Node5""","""Node3""","""Node4""","""Node5""","""Node6""","""Node3""","""Node4""","""Node2""","""Node6""","""Node1""","""Node2""",20,1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""FCFS""","""PB""","""PB"""
9,0.00398951512728278,0.041898185022780525,6,"(1, 1)","""Node5""","""Node1""","""Node2""","""Node5""","""Node4""","""Node6""","""Node1""","""Node3""","""Node6""","""Node3""","""Node3""",20,1.0,1.0,1.0,1.0,1.0,1.0,"""FCFS""","""PB""","""FCFS""","""FCFS""","""FCFS""","""PB"""
10,0.00531854532839921,0.04041021929839644,5,"(1, 1)","""Node2""","""Node2""","""Node1""","""Node2""","""Node4""","""Node5""","""Node3""","""Node1""","""Node4""","""Node3""","""Node3""",17,1.0,1.0,1.0,1.0,1.0,1.0,"""FCFS""","""PB""","""FCFS""","""FCFS""","""FCFS""","""PB"""
11,0.00383889383170167,0.04236460030320965,6,"(1, 1)","""Node1""","""Node2""","""Node4""","""Node1""","""Node6""","""Node2""","""Node4""","""Node5""","""Node3""","""Node5""","""Node5""",20,1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""FCFS""","""FCFS""","""FCFS""","""PB"""
12,0.00427320556877467,0.04267162716831599,6,"(1, 1)","""Node6""","""Node1""","""Node4""","""Node6""","""Node3""","""Node1""","""Node2""","""Node4""","""Node5""","""Node3""","""Node2""",20,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,"""PB""","""PB""","""PB""","""FCFS""","""PB""","""PB"""
13,0.00359984134966039,0.04233873092405086,6,"(1, 1)","""Node1""","""Node2""","""Node3""","""Node1""","""Node6""","""Node2""","""Node5""","""Node4""","""Node5""","""Node5""","""Node5""",20,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""PB""","""PB"""
14,0.00339664285715292,0.05116983692311488,6,"(1, 1)","""Node4""","""Node3""","""Node4""","""Node6""","""Node2""","""Node3""","""Node5""","""Node6""","""Node5""","""Node1""","""Node1""",6,1.0,1.0,1.0,1.0,1.0,1.0,"""FCFS""","""PB""","""PB""","""PB""","""FCFS""","""PB"""
15,0.00407812879090486,0.05070648276756693,6,"(1, 1)","""Node1""","""Node2""","""Node5""","""Node1""","""Node4""","""Node3""","""Node5""","""Node2""","""Node3""","""Node4""","""Node6""",6,1.0,1.0,1.0,1.0,1.0,0.25,"""FCFS""","""PB""","""FCFS""","""PB""","""PB""","""PB"""
16,0.0049628258303131105,0.039380997476237384,6,"(6, 8)","""Node2""","""Node6""","""Node4""","""Node2""","""Node1""","""Node6""","""Node4""","""Node5""","""Node5""","""Node3""","""Node1""",32,1.0,1.0,1.0,1.0,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB"""
17,0.00361066602518489,0.04194880751238322,6,"(1, 1)","""Node2""","""Node4""","""Node2""","""Node3""","""Node6""","""Node5""","""Node4""","""Node1""","""Node5""","""Node1""","""Node1""",20,1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""FCFS""","""FCFS""","""PB"""
18,0.0038291788979021297,0.04265486550060997,6,"(1, 1)","""Node1""","""Node6""","""Node2""","""Node1""","""Node4""","""Node6""","""Node3""","""Node5""","""Node3""","""Node5""","""Node5""",20,1.0,1.0,1.0,1.0,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""FCFS"""
0,0.00404512218601405,0.04315167566413538,6,"(1, 1)","""Node2""","""Node6""","""Node4""","""Node2""","""Node5""","""Node6""","""Node1""","""Node4""","""Node3""","""Node1""","""Node1""",20,1.0,1.0,1.0,1.0,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""FCFS"""
1,0.0047960183780986106,0.042674053947879265,6,"(1, 1)","""Node1""","""Node6""","""Node2""","""Node4""","""Node5""","""Node6""","""Node3""","""Node2""","""Node5""","""Node3""","""Node5""",20,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB"""
2,0.00462398418602401,0.04081941954191934,6,"(1, 1)","""Node4""","""Node1""","""Node2""","""Node4""","""Node5""","""Node1""","""Node3""","""Node2""","""Node5""","""Node6""","""Node6""",20,1.0,1.0,1.0,1.0,1.0,0.5,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB"""
3,0.00348825344676328,0.04732065381605278,6,"(1, 1)","""Node1""","""Node1""","""Node3""","""Node1""","""Node5""","""Node6""","""Node4""","""Node3""","""Node2""","""Node6""","""Node2""",24,1.0,1.0,1.0,1.0,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB"""
4,0.00525558424274221,0.0384662091230687,6,"(6, 8)","""Node5""","""Node4""","""Node5""","""Node5""","""Node2""","""Node1""","""Node4""","""Node6""","""Node2""","""Node6""","""Node3""",13,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB"""
5,0.0036910504363836796,0.042777567421010826,5,"(6, 8)","""Node2""","""Node4""","""Node2""","""Node1""","""Node3""","""Node4""","""Node2""","""Node2""","""Node3""","""Node5""","""Node5""",31,1.0,1.0,1.0,1.0,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB"""
6,0.00525558424274221,0.037140587347252715,6,"(6, 8)","""Node2""","""Node4""","""Node2""","""Node2""","""Node1""","""Node5""","""Node4""","""Node6""","""Node6""","""Node3""","""Node1""",13,1.0,1.0,1.0,1.0,1.0,1.0,"""FCFS""","""FCFS""","""PB""","""FCFS""","""FCFS""","""PB"""
7,0.0035424116494273,0.04235887859321618,5,"(1, 1)","""Node2""","""Node3""","""Node6""","""Node2""","""Node5""","""Node1""","""Node3""","""Node6""","""Node5""","""Node1""","""Node5""",20,1.0,1.0,1.0,0.5,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""PB""","""PB"""
