Latency,PowerConsumption,Number of Processors,Combined Tasks,MapTask1To,MapTask2To,MapTask3To,MapTask4To,MapTask5To,MapTask6To,MapTask7To,	MapTask8To,MapTask9To,MapTask10To,MapTask11To,NodeProcessorType1,NodeProcessorType2,NodeProcessorType3,NodeProcessorType4,NodeProcessorType5,NodeProcessorType6,VSF1,VSF2,VSF3,VSF4,VSF5,VSF6,OSPolicy1,OSPolicy2,OSPolicy3,OSPolicy4,OSPolicy5,OSPolicy6,pareto rank
0.003357187,0.044299746,6,"(7, 8)","""Node4""","""Node2""","""Node6""","""Node3""","""Node5""","""Node1""","""Node6""","""Node3""","""Node5""","""Node2""","""Node5""","""Adreno""","""MIPS""","""MIPS""","""Adreno""","""ARMv8""","""MIPS""",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""FCFS""","""PB""","""PB""","""PB""",8
0.0052628,0.044328377,4,"(6, 8)","""Node1""","""Node3""","""Node3""","""Node1""","""Node4""","""Node6""","""Node3""","""Node4""","""Node4""","""Node6""","""Node6""","""Adreno""","""MIPS""","""ARMv8""","""Adreno""","""MIPS""","""MIPS""",1.0,0.666666667,1.0,1.0,0.666666667,1.0,"""PB""","""PB""","""FCFS""","""FCFS""","""PB""","""PB""",24
0.004054892,0.044355562,5,"(7, 8)","""Node3""","""Node4""","""Node3""","""Node1""","""Node6""","""Node5""","""Node3""","""Node1""","""Node5""","""Node1""","""Node5""","""MIPS""","""ARMv8""","""MIPS""","""Adreno""","""ARMv8""","""Adreno""",1.0,0.25,1.0,1.0,1.0,1.0,"""PB""","""FCFS""","""FCFS""","""PB""","""PB""","""PB""",17
0.0050065,0.044364794000000006,6,"(7, 7)","""Node2""","""Node3""","""Node2""","""Node6""","""Node4""","""Node1""","""Node2""","""Node6""","""Node5""","""Node6""","""Node5""","""Adreno""","""Adreno""","""Adreno""","""MIPS""","""MIPS""","""Adreno""",1.0,1.0,0.25,1.0,0.5,1.0,"""FCFS""","""PB""","""FCFS""","""FCFS""","""PB""","""FCFS""",27
0.00417779,0.044403451,5,"(4, 4)","""Node2""","""Node6""","""Node2""","""Node3""","""Node1""","""Node6""","""Node2""","""Node4""","""Node1""","""Node4""","""Node4""","""Adreno""","""Adreno""","""Adreno""","""MIPS""","""MIPS""","""ARMv8""",1.0,1.0,0.666666667,1.0,0.5,1.0,"""FCFS""","""PB""","""FCFS""","""FCFS""","""PB""","""FCFS""",18
0.005126713,0.044406328,6,"(2, 2)","""Node3""","""Node6""","""Node4""","""Node1""","""Node5""","""Node2""","""Node6""","""Node1""","""Node6""","""Node5""","""Node5""","""ARMv8""","""MIPS""","""ARMv8""","""Adreno""","""MIPS""","""MIPS""",1.0,1.0,0.666666667,1.0,1.0,1.0,"""FCFS""","""FCFS""","""PB""","""FCFS""","""PB""","""FCFS""",28
0.005322598,0.044426297,6,"(4, 4)","""Node4""","""Node2""","""Node1""","""Node6""","""Node3""","""Node5""","""Node4""","""Node6""","""Node5""","""Node3""","""Node5""","""MIPS""","""ARMv8""","""MIPS""","""Adreno""","""ARMv8""","""MIPS""",1.0,0.25,1.0,0.666666667,1.0,1.0,"""PB""","""FCFS""","""PB""","""PB""","""PB""","""PB""",30
0.005100778,0.04442757,6,"(7, 7)","""Node2""","""Node1""","""Node1""","""Node6""","""Node3""","""Node4""","""Node1""","""Node3""","""Node4""","""Node3""","""Node5""","""Adreno""","""MIPS""","""ARMv8""","""MIPS""","""ARMv8""","""MIPS""",1.0,0.666666667,1.0,1.0,0.666666667,1.0,"""PB""","""FCFS""","""FCFS""","""FCFS""","""PB""","""PB""",28
0.005114266,0.044431559,6,"(6, 8)","""Node2""","""Node1""","""Node6""","""Node2""","""Node3""","""Node1""","""Node5""","""Node4""","""Node5""","""Node5""","""Node5""","""ARMv8""","""MIPS""","""ARMv8""","""MIPS""","""MIPS""","""MIPS""",1.0,1.0,1.0,0.5,1.0,0.666666667,"""PB""","""PB""","""FCFS""","""FCFS""","""FCFS""","""FCFS""",29
0.003651167,0.044458362,4,"(7, 8)","""Node3""","""Node3""","""Node5""","""Node6""","""Node4""","""Node3""","""Node5""","""Node6""","""Node4""","""Node5""","""Node4""","""MIPS""","""ARMv8""","""MIPS""","""ARMv8""","""MIPS""","""MIPS""",1.0,0.25,1.0,1.0,1.0,1.0,"""PB""","""FCFS""","""FCFS""","""PB""","""PB""","""PB""",8
0.004463557,0.044462783,5,"(5, 5)","""Node4""","""Node5""","""Node6""","""Node1""","""Node3""","""Node5""","""Node6""","""Node1""","""Node3""","""Node6""","""Node3""","""MIPS""","""ARMv8""","""Adreno""","""Adreno""","""ARMv8""","""MIPS""",1.0,0.25,1.0,1.0,1.0,1.0,"""PB""","""FCFS""","""FCFS""","""PB""","""PB""","""PB""",23
0.005728521,0.044466448,6,"(5, 8)","""Node6""","""Node1""","""Node3""","""Node4""","""Node6""","""Node1""","""Node5""","""Node4""","""Node5""","""Node2""","""Node2""","""Adreno""","""MIPS""","""ARMv8""","""Adreno""","""MIPS""","""MIPS""",1.0,1.0,0.666666667,1.0,0.666666667,1.0,"""FCFS""","""FCFS""","""FCFS""","""FCFS""","""PB""","""PB""",33
0.004726326,0.044485402,5,"(7, 8)","""Node3""","""Node3""","""Node1""","""Node4""","""Node6""","""Node3""","""Node2""","""Node4""","""Node2""","""Node6""","""Node6""","""Adreno""","""MIPS""","""ARMv8""","""MIPS""","""MIPS""","""MIPS""",1.0,1.0,1.0,1.0,0.666666667,1.0,"""PB""","""FCFS""","""FCFS""","""FCFS""","""FCFS""","""PB""",26
0.004826336,0.044508515,5,"(6, 6)","""Node1""","""Node5""","""Node3""","""Node1""","""Node4""","""Node5""","""Node3""","""Node1""","""Node6""","""Node4""","""Node6""","""MIPS""","""ARMv8""","""MIPS""","""Adreno""","""ARMv8""","""Adreno""",1.0,0.25,1.0,1.0,1.0,1.0,"""PB""","""FCFS""","""FCFS""","""PB""","""FCFS""","""PB""",27
0.005814863000000001,0.044512288,5,"(7, 8)","""Node2""","""Node1""","""Node6""","""Node4""","""Node2""","""Node1""","""Node6""","""Node4""","""Node3""","""Node4""","""Node3""","""Adreno""","""MIPS""","""ARMv8""","""Adreno""","""MIPS""","""MIPS""",1.0,1.0,0.666666667,1.0,0.5,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""PB""","""FCFS""",33
